ScalePlex1;ScalePlex32	1A
ScalePlex1;ScalePlex29	1B
ScalePlex1;ScalePlex28	1C
ScalePlex1;ScalePlex24	1D
ScalePlex1;ScalePlex23	1E
ScalePlex1;ScalePlex19	1F
ScalePlex1;ScalePlex18	1G
ScalePlex1;ScalePlex17	1H
ScalePlex3;ScalePlex32	2A
ScalePlex29;ScalePlex3	2B
ScalePlex28;ScalePlex3	2C
ScalePlex24;ScalePlex3	2D
ScalePlex23;ScalePlex3	2E
ScalePlex19;ScalePlex3	2F
ScalePlex18;ScalePlex3	2G
ScalePlex17;ScalePlex3	2H
ScalePlex32;ScalePlex4	3A
ScalePlex29;ScalePlex4	3B
ScalePlex28;ScalePlex4	3C
ScalePlex24;ScalePlex4	3D
ScalePlex23;ScalePlex4	3E
ScalePlex19;ScalePlex4	3F
ScalePlex18;ScalePlex4	3G
ScalePlex17;ScalePlex4	3H
ScalePlex32;ScalePlex6	4A
ScalePlex29;ScalePlex6	4B
ScalePlex28;ScalePlex6	4C
ScalePlex24;ScalePlex6	4D
ScalePlex23;ScalePlex6	4E
ScalePlex19;ScalePlex6	4F
ScalePlex18;ScalePlex6	4G
ScalePlex17;ScalePlex6	4H
ScalePlex32;ScalePlex8	5A
ScalePlex29;ScalePlex8	5B
ScalePlex28;ScalePlex8	5C
ScalePlex24;ScalePlex8	5D
ScalePlex23;ScalePlex8	5E
ScalePlex19;ScalePlex8	5F
ScalePlex18;ScalePlex8	5G
ScalePlex17;ScalePlex8	5H
ScalePlex32;ScalePlex9	6A
ScalePlex29;ScalePlex9	6B
ScalePlex28;ScalePlex9	6C
ScalePlex24;ScalePlex9	6D
ScalePlex23;ScalePlex9	6E
ScalePlex19;ScalePlex9	6F
ScalePlex18;ScalePlex9	6G
ScalePlex17;ScalePlex9	6H
ScalePlex10;ScalePlex32	7A
ScalePlex10;ScalePlex29	7B
ScalePlex10;ScalePlex28	7C
ScalePlex10;ScalePlex24	7D
ScalePlex10;ScalePlex23	7E
ScalePlex10;ScalePlex19	7F
ScalePlex10;ScalePlex18	7G
ScalePlex10;ScalePlex17	7H
ScalePlex11;ScalePlex32	8A
ScalePlex11;ScalePlex29	8B
ScalePlex11;ScalePlex28	8C
ScalePlex11;ScalePlex24	8D
ScalePlex11;ScalePlex23	8E
ScalePlex11;ScalePlex19	8F
ScalePlex11;ScalePlex18	8G
ScalePlex11;ScalePlex17	8H
ScalePlex12;ScalePlex32	9A
ScalePlex12;ScalePlex29	9B
ScalePlex12;ScalePlex28	9C
ScalePlex12;ScalePlex24	9D
ScalePlex12;ScalePlex23	9E
ScalePlex12;ScalePlex19	9F
ScalePlex12;ScalePlex18	9G
ScalePlex12;ScalePlex17	9H
ScalePlex14;ScalePlex32	10A
ScalePlex14;ScalePlex29	10B
ScalePlex14;ScalePlex28	10C
ScalePlex14;ScalePlex24	10D
ScalePlex14;ScalePlex23	10E
ScalePlex14;ScalePlex19	10F
ScalePlex14;ScalePlex18	10G
ScalePlex14;ScalePlex17	10H
ScalePlex15;ScalePlex32	11A
ScalePlex15;ScalePlex29	11B
ScalePlex15;ScalePlex28	11C
ScalePlex15;ScalePlex24	11D
ScalePlex15;ScalePlex23	11E
ScalePlex15;ScalePlex19	11F
ScalePlex15;ScalePlex18	11G
ScalePlex15;ScalePlex17	11H
ScalePlex16;ScalePlex32	12A
ScalePlex16;ScalePlex29	12B
ScalePlex16;ScalePlex28	12C
ScalePlex16;ScalePlex24	12D
ScalePlex16;ScalePlex23	12E
ScalePlex16;ScalePlex19	12F
ScalePlex16;ScalePlex18	12G
ScalePlex16;ScalePlex17	12H
